                            time,                             ala,                           death,                            haem,                            ppix
          0.00039836920066662056,              0.9968179984006817,      0.000000007736432574970987,       0.00000007736432574970986,          0.00039766509915649466
          0.00041782384376047284,              0.9966628564935744,      0.000000008510075832468086,       0.00000008510075832468084,           0.0004170493274690757
           0.0004382292856877209,              0.9965001577252607,      0.000000009361083415714893,       0.00000009361083415714892,          0.00043737731242488476
           0.0004596320497310035,              0.9963295348633016,      0.000000010297191757286383,       0.00000010297191757286381,           0.0004586948729780151
           0.0004820809419334239,              0.9961506029086917,       0.00000001132691093301502,        0.0000001132691093301502,          0.00048105004039331604
           0.0005056271637022733,              0.9959629582446017,      0.000000012459602026316522,        0.0000001245960202631652,           0.0005044931638025509
           0.0005303244300287462,              0.9957661777451531,      0.000000013705562228948175,       0.00000013705562228948173,           0.0005290770206713907
           0.0005562290936097803,              0.9955598178424342,      0.000000015076118451842992,        0.0000001507611845184299,           0.0005548569323927992
           0.0005834002751733372,              0.9953434135498903,       0.00000001658373029702729,       0.00000016583730297027287,           0.0005818908852304807
           0.0006119000003244858,              0.9951164774401529,       0.00000001824210332673002,       0.00000018242103326730015,           0.0006102396568443319
           0.0006417933432466149,              0.9948784985752922,      0.000000020066313659403023,       0.00000020066313659403015,           0.0006399669486382522
           0.0006731485776100472,              0.9946289413874044,      0.000000022072945025343326,       0.00000022072945025343317,           0.0006711395241791948
           0.0007060373350593102,               0.994367244507362,       0.00000002428023952787766,       0.00000024280239527877647,           0.0007038273539449745
            0.000740534771670414,              0.9940928195394776,      0.000000026708263480665424,        0.0000002670826348066541,           0.0007381037666670445
           0.0007767197427907597,              0.9938050497797497,      0.000000029379089828731963,        0.0000002937908982873195,           0.0007740456075431948
           0.0008146749866968398,              0.9935032888752738,      0.000000032316998811605156,       0.00000032316998811605147,           0.0008117334036038677
           0.0008544873175287691,              0.9931868594223193,       0.00000003554869869276567,        0.0000003554869869276566,           0.0008512515365244871
           0.0008962478279860011,              0.9928550515004881,       0.00000003910356856204223,       0.00000039103568562042226,           0.0008926884231848163
           0.0009400521022954333,              0.9925071211402847,      0.000000043013925418246456,        0.0000004301392541824645,           0.0009361367042848309
             0.00098600043999159,              0.9921422887213408,      0.000000047315317960071104,       0.00000047315317960071096,           0.0009816934413348648
            0.001034198091078811,              0.9917597372984555,      0.000000052046849756078216,        0.0000005204684975607821,           0.0010294603223457769
           0.0010847555031774938,              0.9913586108525236,       0.00000005725153473168604,        0.0000005725153473168603,           0.0010795438765525244
           0.0011377885812905541,              0.9909380124633445,       0.00000006297668820485464,        0.0000006297668820485463,           0.0011320556985117164
            0.001193418960862556,              0.9904970024012192,        0.0000000692743570253401,        0.0000006927435702534009,           0.0011871126819203521
            0.001251774294842543,              0.9900345961341688,       0.00000007620179272787411,        0.0000007620179272787411,           0.0012448372635089234
           0.0013129885555026696,              0.9895497622475263,       0.00000008382197200066152,        0.0000008382197200066152,           0.0013053576773672231
           0.0013772023518084623,               0.989041420272587,       0.00000009220416920072767,        0.0000009220416920072767,           0.0013688082200654307
            0.001444563263183118,              0.9885084384209323,       0.00000010142458612080044,        0.0000010142458612080044,           0.0014353295269361552
           0.0015152261905579214,              0.9879496312209841,       0.00000011156704473288048,        0.0000011156704473288049,            0.001505068859884941
           0.0015893537256538302,              0.9873637570532935,       0.00000012272374920616853,        0.0000012272374920616853,           0.0015781804070970585
