+0,	+0.000000e0,	+0.000000e0,	+0.000000e0
+100,	+9.959706e-4,	-9.012968e-12,	+9.969516e-9
+200,	+1.984005e-3,	-8.024875e-12,	+1.984966e-8
+300,	+2.964166e-3,	-7.044655e-12,	+2.965108e-8
+400,	+3.936517e-3,	-6.072245e-12,	+3.937439e-8
+500,	+4.901120e-3,	-5.107585e-12,	+4.902023e-8
+600,	+5.858037e-3,	-4.150611e-12,	+5.858920e-8
+700,	+6.807328e-3,	-3.201262e-12,	+6.808193e-8
+800,	+7.749055e-3,	-2.259479e-12,	+7.749901e-8
+900,	+8.683278e-3,	-1.325200e-12,	+8.684106e-8
+1000,	+9.610057e-3,	-3.983651e-13,	+9.610866e-8
+1100,	+1.052945e-2,	+2.948683e-10,	+2.556621e-7
+1200,	+1.144152e-2,	+5.979605e-9,	+1.241510e-6
+1300,	+1.234632e-2,	+2.596245e-8,	+3.121525e-6
+1400,	+1.324391e-2,	+6.910521e-8,	+5.879606e-6
+1500,	+1.413435e-2,	+1.441097e-7,	+9.499871e-6
+1600,	+1.501769e-2,	+2.595201e-7,	+1.396665e-5
+1700,	+1.589399e-2,	+4.237248e-7,	+1.926449e-5
+1800,	+1.676331e-2,	+6.449588e-7,	+2.537814e-5
+1900,	+1.762571e-2,	+9.313056e-7,	+3.229257e-5
+2000,	+1.848123e-2,	+1.290699e-6,	+3.999294e-5
+2100,	+1.932993e-2,	+1.730927e-6,	+4.846461e-5
+2200,	+2.017188e-2,	+2.259630e-6,	+5.769317e-5
+2300,	+2.100711e-2,	+2.884306e-6,	+6.766436e-5
+2400,	+2.183569e-2,	+3.612312e-6,	+7.836417e-5
+2500,	+2.265766e-2,	+4.450866e-6,	+8.977872e-5
+2600,	+2.347309e-2,	+5.407047e-6,	+1.018944e-4
+2700,	+2.428201e-2,	+6.487800e-6,	+1.146977e-4
+2800,	+2.508450e-2,	+7.699935e-6,	+1.281753e-4
+2900,	+2.588058e-2,	+9.050130e-6,	+1.423142e-4
+3000,	+2.667033e-2,	+1.054493e-5,	+1.571014e-4
+3100,	+2.745378e-2,	+1.219077e-5,	+1.725243e-4
+3200,	+2.823099e-2,	+1.399392e-5,	+1.885701e-4
+3300,	+2.900200e-2,	+1.596057e-5,	+2.052266e-4
+3400,	+2.976687e-2,	+1.809675e-5,	+2.224816e-4
+3500,	+3.052565e-2,	+2.040840e-5,	+2.403229e-4
+3600,	+3.127838e-2,	+2.290131e-5,	+2.587387e-4
+3700,	+3.202511e-2,	+2.558118e-5,	+2.777174e-4
+3800,	+3.276589e-2,	+2.845357e-5,	+2.972473e-4
+3900,	+3.350077e-2,	+3.152395e-5,	+3.173170e-4
+4000,	+3.422979e-2,	+3.479764e-5,	+3.379155e-4
+4100,	+3.495301e-2,	+3.827990e-5,	+3.590315e-4
+4200,	+3.567046e-2,	+4.197583e-5,	+3.806542e-4
+4300,	+3.638219e-2,	+4.589045e-5,	+4.027728e-4
+4400,	+3.708826e-2,	+5.002866e-5,	+4.253768e-4
+4500,	+3.778869e-2,	+5.439528e-5,	+4.484556e-4
+4600,	+3.848355e-2,	+5.899499e-5,	+4.719990e-4
+4700,	+3.917287e-2,	+6.383240e-5,	+4.959968e-4
+4800,	+3.985669e-2,	+6.891199e-5,	+5.204390e-4
+4900,	+4.053507e-2,	+7.423816e-5,	+5.453158e-4
+5000,	+4.120804e-2,	+7.981521e-5,	+5.706174e-4
+5100,	+4.187565e-2,	+8.564734e-5,	+5.963342e-4
+5200,	+4.253794e-2,	+9.173865e-5,	+6.224568e-4
+5300,	+4.319495e-2,	+9.809317e-5,	+6.489759e-4
+5400,	+4.384672e-2,	+1.047148e-4,	+6.758823e-4
+5500,	+4.449330e-2,	+1.116074e-4,	+7.031669e-4
+5600,	+4.513473e-2,	+1.187746e-4,	+7.308209e-4
+5700,	+4.577105e-2,	+1.262202e-4,	+7.588354e-4
+5800,	+4.640230e-2,	+1.339477e-4,	+7.872019e-4
+5900,	+4.702852e-2,	+1.419605e-4,	+8.159117e-4
+6000,	+4.764975e-2,	+1.502621e-4,	+8.449566e-4
+6100,	+4.826603e-2,	+1.588558e-4,	+8.743281e-4
+6200,	+4.887739e-2,	+1.677448e-4,	+9.040182e-4
+6300,	+4.948389e-2,	+1.769322e-4,	+9.340188e-4
+6400,	+5.008555e-2,	+1.864212e-4,	+9.643219e-4
+6500,	+5.068242e-2,	+1.962146e-4,	+9.949199e-4
+6600,	+5.127454e-2,	+2.063155e-4,	+1.025805e-3
+6700,	+5.186193e-2,	+2.167265e-4,	+1.056970e-3
+6800,	+5.244464e-2,	+2.274506e-4,	+1.088406e-3
+6900,	+5.302271e-2,	+2.384904e-4,	+1.120108e-3
+7000,	+5.359618e-2,	+2.498485e-4,	+1.152067e-3
+7100,	+5.416507e-2,	+2.615274e-4,	+1.184276e-3
+7200,	+5.472943e-2,	+2.735296e-4,	+1.216728e-3
+7300,	+5.528930e-2,	+2.858575e-4,	+1.249417e-3
+7400,	+5.584470e-2,	+2.985134e-4,	+1.282336e-3
+7500,	+5.639568e-2,	+3.114996e-4,	+1.315478e-3
+7600,	+5.694227e-2,	+3.248183e-4,	+1.348836e-3
+7700,	+5.748450e-2,	+3.384717e-4,	+1.382403e-3
+7800,	+5.802241e-2,	+3.524617e-4,	+1.416174e-3
+7900,	+5.855603e-2,	+3.667904e-4,	+1.450143e-3
+8000,	+5.908541e-2,	+3.814598e-4,	+1.484302e-3
+8100,	+5.961056e-2,	+3.964717e-4,	+1.518645e-3
+8200,	+6.013153e-2,	+4.118279e-4,	+1.553168e-3
+8300,	+6.064835e-2,	+4.275301e-4,	+1.587863e-3
+8400,	+6.116105e-2,	+4.435802e-4,	+1.622726e-3
+8500,	+6.166966e-2,	+4.599797e-4,	+1.657750e-3
+8600,	+6.217423e-2,	+4.767302e-4,	+1.692929e-3
+8700,	+6.267477e-2,	+4.938333e-4,	+1.728258e-3
+8800,	+6.317132e-2,	+5.112903e-4,	+1.763732e-3
+8900,	+6.366392e-2,	+5.291028e-4,	+1.799345e-3
+9000,	+6.415259e-2,	+5.472721e-4,	+1.835092e-3
+9100,	+6.463736e-2,	+5.657995e-4,	+1.870967e-3
+9200,	+6.511828e-2,	+5.846862e-4,	+1.906966e-3
+9300,	+6.559536e-2,	+6.039336e-4,	+1.943084e-3
+9400,	+6.606864e-2,	+6.235427e-4,	+1.979314e-3
+9500,	+6.653815e-2,	+6.435146e-4,	+2.015654e-3
+9600,	+6.700392e-2,	+6.638505e-4,	+2.052097e-3
+9700,	+6.746597e-2,	+6.845512e-4,	+2.088639e-3
+9800,	+6.792435e-2,	+7.056179e-4,	+2.125276e-3
+9900,	+6.837907e-2,	+7.270514e-4,	+2.162002e-3
+10000,	+6.883017e-2,	+7.488526e-4,	+2.198814e-3
+10100,	+6.927767e-2,	+7.710222e-4,	+2.235706e-3
+10200,	+6.972161e-2,	+7.935612e-4,	+2.272675e-3
+10300,	+7.016201e-2,	+8.164703e-4,	+2.309715e-3
+10400,	+7.059890e-2,	+8.397501e-4,	+2.346824e-3
+10500,	+7.103231e-2,	+8.634013e-4,	+2.383997e-3
+10600,	+7.146227e-2,	+8.874245e-4,	+2.421229e-3
+10700,	+7.188880e-2,	+9.118203e-4,	+2.458517e-3
+10800,	+7.231193e-2,	+9.365893e-4,	+2.495856e-3
+10900,	+7.273169e-2,	+9.617318e-4,	+2.533244e-3
+11000,	+7.314811e-2,	+9.872485e-4,	+2.570675e-3
