604980.2362487077, 3242.6280617361326
582347.9503164375, 3565.7989596575167
554410.332945126, 3878.0298600757633
524191.79956830805, 3908.362648246137
491841.6213412059, 4078.7764304302723
460014.10579099855, 4293.450405745208
427101.7040282319, 4451.542349602713
393878.9388059834, 4409.066552413343
363106.85439031856, 4452.711042621764
333273.5911952153, 4532.336241170474
304069.245451316, 4566.488352047439
277449.9548466352, 4487.499840018494
252471.41406076445, 4407.110924811292
227707.340487744, 4372.527468733565
205344.39404661383, 4290.096942614194
184815.5433348511, 4025.284152162584
164516.68278984382, 3717.334134464927
146190.9644081861, 3271.7633687861116
129662.83751072442, 2832.858699658635
112699.03890287796, 2080.132094397993
97775.57052803888, 1243.5633064078206
